bookingID,min_val_acc_x,max_val_acc_x,mean_val_acc_x,min_val_acc_y,max_val_acc_y,mean_val_acc_y,min_val_acc_z,max_val_acc_z,mean_val_acc_z,min_speed,max_speed,mean_speed,label
1382979469316,-1.7462158,3.9579773,0.7355318,0.61102295,6.656372,3.477890572,6.778717,11.291794,9.247258573,0,19.74,6.242966443,0
1374389534735,-2.562600708,2.991021729,0.154202414,-11.6197052,-7.418637085,-9.246583497,-5.076901245,-0.97019043,-3.055523779,0.054895736,23.50393677,12.73450626,0
601295421534,-2.2146366,4.5753193,1.205679423,5.638345,12.951434,9.649991516,-3.454833,8.554482,2.530087796,-1,27.57,12.78553516,0
1365799600143,-2.6217308,3.8954852,0.850132678,5.8061166,15.287445,9.593983008,-2.020768,4.6329217,0.552848144,-1,21.80332,6.289206438,1
25769803782,-3.525462,3.8498764,0.023691343,7.5285673,12.714408,9.697537445,-2.9759927,4.5525746,0.504997506,-1,18.282934,5.814537633,0
206158430341,-3.441665,4.830302,0.795272433,6.172252,13.135189,9.369484359,-1.3634979,7.8996687,2.909516628,-1,33,19.39926023,1
1228360646710,-3.93444519,3.315963745,0.03157009,-14.7927124,-5.550332642,-9.708879668,-4.660144043,2.376577759,-0.847285719,-1,27.50297356,9.145058722,1
154618822721,-4.955682,3.832188,-0.199814955,5.6748133,12.376681,9.77231123,-3.8905108,4.854589,0.165367565,-1,23.08133,12.2061107,0
1194000908294,-3.6823947,3.7087317,0.193837186,6.7470665,11.988134,9.973519571,-3.5602865,4.6544704,0.654853423,0,15.983006,5.998729957,0
541165879427,-3.569,2.826,-0.032270451,5.443,11.135,9.099632721,0.517,10.254,3.993747913,-1,21.240013,4.941370646,1
214748364905,-5.091299,3.4579167,-0.440524397,6.328881,14.420583,9.102869902,-0.6886203,8.354796,2.767261428,0,34.359924,16.25285473,0
927712936005,-4.0151987,2.727079,-0.164780831,7.2762012,13.855668,9.915015761,-3.921822,3.9409764,0.852945579,0,19.29715,5.655964466,0
1649267441761,-3.789544678,2.131787109,-0.589328107,-11.54628296,-7.738046265,-9.783931543,-3.131585693,2.415905762,0.052717412,-1,12.33986473,3.571487438,0
335007449150,-13.260757,12.663666,0.506548407,-10.843231,26.825958,6.197021768,-16.662094,31.76184,6.458908197,-1,25,5.11550077,1
